id;date;user_id;original_tweet_id;fecha_original;user_original
1,88E+23;08/01/2025 19:07;2811037249;1,88E+23;08/01/2025 0:00;@20m
1,88E+23;07/01/2025 16:13;1264347176;1,88E+23;07/01/2025 0:00;@20m
1,89E+22;22/02/2025 13:54;3178871621;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 13:49;1,18E+23;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 14:00;1,51E+22;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 14:00;196409132;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 13:53;1,38E+22;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 14:20;3023178309;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 14:23;1,77E+23;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 16:15;285508262;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 20:40;427280667;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 15:41;2404415420;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 14:16;53692851;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;23/02/2025 11:15;1,51E+22;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 14:34;7,13E+22;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 14:12;200018931;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 14:47;518998263;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 13:47;48576339;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 13:58;9,24E+22;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 14:53;376335971;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 15:30;1219119302;1,89E+22;22/02/2025 0:00;@el_pais
1,93E+23;30/05/2025 2:37;228556751;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 22:28;1,48E+23;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 13:50;1,21E+22;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 15:13;1303049894;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 16:21;1,31E+23;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;23/02/2025 8:27;1,79E+23;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 13:52;1,65E+23;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;23/02/2025 9:50;1,67E+23;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 14:40;620045316;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;23/02/2025 5:21;850089648;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 14:25;1976494723;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 21:10;1,51E+23;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 14:09;1439676013;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 14:35;1,59E+22;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 13:55;1,59E+23;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 20:47;253196031;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 20:43;1,56E+22;1,89E+22;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 8:09;4056594723;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 12:15;1023184021;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 4:56;2862602142;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 14:30;482335267;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 10:44;1668399427;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 5:00;1,12E+23;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 13:01;3290277322;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 13:57;3132780042;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 5:20;2266279621;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 14:34;482335267;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 11:10;1079807360;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 8:00;1,20E+23;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 13:04;1,70E+23;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 13:02;1,61E+22;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 14:59;816017652;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 9:41;885326204;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 9:39;885326204;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 15:10;23360157;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;23/02/2025 7:56;1,56E+23;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 14:31;9,11E+22;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 15:42;3389458965;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 12:54;1,05E+23;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 11:37;1,81E+23;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 15:16;953539718;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;23/02/2025 12:43;1,45E+23;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 14:16;1,87E+22;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 8:37;81811581;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+22;22/02/2025 7:38;1,59E+23;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 8:59;165980954;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 4:48;230136275;1,89E+23;22/02/2025 0:00;@el_pais
1,89E+23;22/02/2025 6:17;4822779995;1,89E+23;22/02/2025 0:00;@el_pais
